icao,name,city,state,country,lat,long,maxTraffic
KMCO,Orlando International Airport,Orlando,FL,US,28.429,-81.309,442
KMDW,Chicago Midway International Airport,Chicago,IL,US,41.786,-87.752,2202
KMEM,Memphis International Airport,Memphis,TN,US,35.042,-89.977,1
KMGE,Dobbins Air Reserve Base,Marietta,GA,US,33.915,-84.516,5
KMGM,Montgomery Regional (Dannelly Field) Airport,Montgomery,AL,US,32.301,-86.394,5
KMHT,Manchester-Boston Regional Airport,Manchester,NH,US,42.933,-71.436,169
KMIA,Miami International Airport,Miami,FL,US,25.793,-80.291,3101
KMKE,General Mitchell International Airport,Milwaukee,WI,US,42.947,-87.897,872
KMLI,Quad City International Airport,Moline,IL,US,41.449,-90.507,117
KMLU,Monroe Regional Airport,Monroe,LA,US,32.511,-92.038,0
KMOB,Mobile Regional Airport,Mobile,AL,US,30.691,-88.243,0
KMSN,Dane County Regional Truax Field,Madison,WI,US,43.14,-89.338,578
KMSP,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,MN,US,44.882,-93.222,3478
KMSY,Louis Armstrong New Orleans International Airport,New Orleans,LA,US,29.993,-90.258,2
KOAK,Metropolitan Oakland International Airport,Oakland,CA,US,37.721,-122.221,1611
KOKC,Will Rogers World Airport,Oklahoma City,OK,US,35.393,-97.601,333
KOMA,Eppley Airfield,Omaha,NE,US,41.303,-95.894,868
KONT,Ontario International Airport,Ontario,CA,US,34.056,-117.601,762
KORD,Chicago O'Hare International Airport,Chicago,IL,US,41.979,-87.905,8418
KORF,Norfolk International Airport,Norfolk,VA,US,36.895,-76.201,837
KPBI,Palm Beach International Airport,West Palm Beach,FL,US,26.683,-80.096,0
KPDX,Portland International Airport,Portland,OR,US,45.589,-122.598,2137
KPHF,Newport News Williamsburg International Airport,Newport News,VA,US,37.132,-76.493,104
KPHL,Philadelphia International Airport,Philadelphia,PA,US,39.872,-75.241,3488
KPHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,US,33.434,-112.012,5367
KPIA,General Wayne A. Downing Peoria International Airport,Peoria,IL,US,40.664,-89.693,38
KPIT,Pittsburgh International Airport,Pittsburgh,PA,US,40.492,-80.233,294
KPVD,Theodore Francis Green State Airport,Providence,RI,US,41.733,-71.42,561
KPWM,Portland International Jetport,Portland,ME,US,43.646,-70.309,0
KRDU,Raleigh Durham International Airport,Raleigh/Durham,NC,US,35.878,-78.787,2184
KRFD,Chicago Rockford International Airport,Chicago/Rockford,IL,US,42.195,-89.097,194
KRIC,Richmond International Airport,Richmond,VA,US,37.505,-77.32,2
KRNO,Reno Tahoe International Airport,Reno,NV,US,39.499,-119.768,116
KROA,Roanoke–Blacksburg Regional Airport,Roanoke,VA,US,37.325,-79.975,240
KROC,Greater Rochester International Airport,Rochester,NY,US,43.119,-77.672,630
KRST,Rochester International Airport,Rochester,MN,US,43.908,-92.5,20
KRSW,Southwest Florida International Airport,Fort Myers,FL,US,26.536,-81.755,1725
KSAN,San Diego International Airport,San Diego,CA,US,32.734,-117.19,3045
KSAT,San Antonio International Airport,San Antonio,TX,US,29.534,-98.47,1268
KSAV,Savannah Hilton Head International Airport,Savannah,GA,US,32.128,-81.202,1
KSBN,South Bend Regional Airport,South Bend,IN,US,41.709,-86.317,5
KSDF,Louisville Muhammad Ali International Airport,Louisville,KY,US,38.174,-85.736,1947
KSEA,Seattle Tacoma International Airport,Seattle,WA,US,47.449,-122.309,4453
KSFB,Orlando Sanford International Airport,Orlando,FL,US,28.778,-81.238,35
KSFO,San Francisco International Airport,San Francisco,CA,US,37.619,-122.375,4496
KSGF,Springfield Branson National Airport,Springfield,MO,US,37.246,-93.389,257
KSJC,Norman Y. Mineta San Jose International Airport,San Jose,CA,US,37.363,-121.929,1969
KSLC,Salt Lake City International Airport,Salt Lake City,UT,US,40.788,-111.978,765
KSMF,Sacramento International Airport,Sacramento,CA,US,38.695,-121.591,1612
KSNA,John Wayne Airport-Orange County Airport,Santa Ana,CA,US,33.676,-117.868,1466
KSPI,Abraham Lincoln Capital Airport,Springfield,IL,US,39.844,-89.678,66
KSRQ,Sarasota Bradenton International Airport,Sarasota/Bradenton,FL,US,27.395,-82.554,367
KSTL,St Louis Lambert International Airport,St Louis,MO,US,38.749,-90.37,2350
KSUS,Spirit of St Louis Airport,St Louis,MO,US,38.662,-90.652,8
KSUX,Sioux Gateway Airport/Brigadier General Bud Day Field,Sioux City,IA,US,42.403,-96.384,7
KSYR,Syracuse Hancock International Airport,Syracuse,NY,US,43.111,-76.106,583
KTLH,Tallahassee Regional Airport,Tallahassee,FL,US,30.396,-84.35,4
KTOL,Toledo Express Airport,Toledo,OH,US,41.587,-83.808,57
KTPA,Tampa International Airport,Tampa,FL,US,27.976,-82.533,2694
KTRI,Tri-Cities Regional TN/VA Airport,Bristol/Johnson/Kingsport,TN,US,36.475,-82.407,0
KTUL,Tulsa International Airport,Tulsa,OK,US,36.198,-95.888,627
KTUS,Tucson International Airport,Tucson,AZ,US,32.116,-110.941,235
KTYS,McGhee Tyson Airport,Knoxville,TN,US,35.811,-83.994,670
KVPS,Destin-Ft Walton Beach Airport,Valparaiso,FL,US,30.483,-86.525,205
PAFA,Fairbanks International Airport,Fairbanks,AK,US,64.815,-147.856,0
PANC,Ted Stevens Anchorage International Airport,Anchorage,AK,US,61.174,-149.996,653
PHNL,Daniel K Inouye International Airport,Honolulu,HI,US,21.321,-157.924,0
